latitude,longitude,prix
48.856244,2.368126,3200
48.852766,2.275881,2700
48.845598,2.285581,5700
48.88814,2.28215,7300
48.863858,2.359764,5300
48.882608,2.315169,3000
48.86803,2.297355,6500
48.827051,2.235635,2000
48.839312,2.266441,2700
48.838537,2.280951,3000
48.854265,2.291245,5700
48.81706,2.261534,4000
48.839312,2.266441,2700
48.835785,2.327023,2700
48.798121,2.349768,5700
48.878323,2.399494,8300
48.839747,2.316738,5700
48.884589,2.280793,4800
48.884589,2.280793,5300
48.882608,2.315169,3000
48.838537,2.280951,3500
48.840629,2.28046,5700
48.836033,2.326224,3000
48.845598,2.285581,3500
48.838537,2.280951,7300
48.847092,2.310486,3000
48.882608,2.315169,3000
48.835025,2.29705,4900
48.846549,2.3821,5300
48.829485,2.279463,13400
48.838017,2.287934,3200
48.837882,2.25912,4000
48.807815,2.182694,4300
48.828524,2.32067,3200
48.882608,2.315169,3000
48.847092,2.310486,3000
48.839192,2.239692,3500
48.785095,2.341412,8300
48.843572,2.278014,7300
48.835976,2.31857,2200
48.816951,2.259606,8300
48.82286,2.269472,3500
48.817778,2.304176,3500
48.838537,2.280951,3000
48.84491,2.231322,4800
48.82286,2.269472,3000
48.846278,2.287493,3500
48.845598,2.285581,7300
48.825711,2.294658,6500
48.853374,2.279488,3200
48.838294,2.331877,4300
48.846919,2.302567,2200
48.786357,2.261718,6200
48.825791,2.359667,5700
48.822036,2.34662,7300
48.882608,2.315169,3000
48.839312,2.266441,3200
48.847092,2.310486,3000
48.783413,2.267484,4600
48.799793,2.317109,5000
48.882608,2.315169,3000
48.837588,2.409066,4700
48.884589,2.280793,4800
48.879083,2.447202,24800
48.775746,2.272346,6900
48.838537,2.280951,7300
48.828199,2.31676,4000
48.884589,2.280793,4800
48.823459,2.263075,2700
48.825586,2.327523,2900
48.823213,2.291597,4800
48.852766,2.275881,3200
48.832835,2.315882,8100
48.851394,2.328993,7600
48.82885,2.295302,4700
48.832055,2.306109,5900
48.816514,2.226916,12200
48.835884,2.351501,2700
48.834683,2.245754,7300
48.882608,2.315169,3000
48.809259,2.281046,3200
48.842681,2.276459,6500
48.845598,2.285581,8100
48.838537,2.280951,3000
48.81456,2.355124,3200
48.836539,2.297484,2700
48.809259,2.281046,3200
48.839312,2.266441,3200
48.882608,2.315169,3000
48.802996,2.343973,4000
48.847092,2.310486,3000
48.854632,2.28939,2000
48.821975,2.25464,7300
48.839747,2.316738,3500
48.873768,2.30418,6500
48.845283,2.195305,9700
48.828695,2.353578,2900
48.897797,2.295859,8900
48.850466,2.234753,3500
48.838537,2.280951,3000
48.838537,2.280951,3000
48.821879,2.264054,3900
48.817778,2.304176,3200
48.871663,2.42436,14600
48.846919,2.302567,2200
48.838294,2.331877,3000
48.835976,2.31857,2200
48.825791,2.359667,5700
48.838537,2.280951,3000
48.834979,2.318296,4900
48.90711,2.267385,6900
48.845598,2.285581,3500
48.838537,2.280951,3500
48.847092,2.310486,3000
48.821754,2.364458,8100
48.821754,2.364458,8100
48.821754,2.364458,8100
48.811411,2.316015,7300
48.854265,2.291245,5700
48.822009,2.332717,2700
48.823949,2.26187,6100
48.828454,2.324556,10100
48.829971,2.325738,4800
48.843075,2.315532,7300
48.823695,2.306306,3200
48.816951,2.259606,3900
48.850466,2.234753,5700
48.841292,2.284995,2700
48.839747,2.316738,6500
48.838454,2.306391,3200
48.835785,2.327023,2700
48.832921,2.303382,8100
48.853914,2.280233,10500
48.853914,2.280233,11300
48.837588,2.409066,4200
48.843075,2.315532,15600
48.842681,2.276459,3500
48.847092,2.310486,3000
48.850466,2.234753,3000
48.838537,2.280951,3000
48.873768,2.30418,7300
48.852971,2.331082,3200
48.889348,2.244285,8100
48.840629,2.28046,5700
48.856244,2.368126,3200
48.798623,2.313375,7300
48.834563,2.313402,3500
48.829045,2.302124,2700
48.772165,2.255075,7700
48.756942,2.283904,15500
48.829638,2.326387,3500
48.825586,2.327523,2900
48.790802,2.264141,4800
48.819928,2.284129,7700
48.812458,2.286378,6900
48.838537,2.280951,3000
48.823459,2.263075,2700
48.845598,2.285581,3500
48.853471,2.295095,11400
48.871663,2.42436,6500
48.825791,2.359667,5700
48.771405,2.366394,22700
48.780278,2.374503,10500
48.846004,2.332032,4700
48.839747,2.316738,3000
48.835976,2.31857,2200
48.832921,2.303382,7300
48.832921,2.303382,6500
48.839556,2.340361,12600
48.847092,2.310486,3000
48.838537,2.280951,3500
48.81525,2.28221,3500
48.832343,2.365285,8900
48.791588,2.295238,3200
48.838537,2.280951,3000
48.786247,2.244883,6900
48.838859,2.285438,3200
48.839358,2.266444,3200
48.824553,2.277921,13800
48.840803,2.214555,6200
48.873768,2.30418,6500
48.903751,2.270331,8300
48.802996,2.343973,8900
48.898836,2.233956,4700
48.833064,2.242426,3200
48.807091,2.285037,6900
48.82052,2.203279,6000
48.798623,2.313375,7300
48.780278,2.374503,2700
48.834979,2.318296,4900
48.785095,2.341412,4800
48.8191,2.199133,6400
48.779786,2.260964,7000
48.838537,2.280951,3000
48.83903,2.29209,2700
48.84301,2.282561,3200
48.838537,2.280951,6500
48.871663,2.42436,3500
48.864545,2.354643,5300
48.847092,2.310486,3000
48.829119,2.3741,4700
48.873768,2.30418,10500
48.828271,2.23756,3200
48.826491,2.313452,14600
48.786357,2.261718,6200
48.842343,2.300073,3000
48.871663,2.42436,5700
48.859437,2.383034,16900
48.853158,2.405754,4700
48.901528,2.362557,7600
48.851849,2.326985,4700
48.838537,2.280951,3000
48.820989,2.255732,5700
48.84799,2.29748,3200
48.878012,2.286231,7700
48.825791,2.359667,5700
48.820989,2.255732,6500
48.843347,2.410373,5300
48.845598,2.285581,5700
48.832962,2.296725,5300
48.838537,2.280951,3000
48.811841,2.207517,6500
48.78353,2.276782,9700
48.809669,2.238173,3500
48.816951,2.259606,4000
48.839747,2.316738,3500
48.825791,2.359667,5700
48.832921,2.303382,6500
48.837282,2.279179,4700
48.846278,2.287493,6500
48.82242,2.218966,7300
48.81214,2.359734,4200
48.854265,2.291245,5700
48.839312,2.266441,2700
48.852569,2.264392,13300
48.801784,2.382541,4700
48.847092,2.310486,3500
48.865453,2.298034,17200
48.83767,2.292738,8100
48.835976,2.31857,2200
48.825586,2.327523,2900
48.838537,2.280951,3000
48.816332,2.255418,18000
48.834979,2.318296,5700
48.837612,2.251,7300
48.847068,2.259493,8100
48.84059,2.231955,15600
48.896263,2.276742,4700
48.840505,2.296844,3200
48.820989,2.255732,6500
48.791013,2.255347,4700
48.834328,2.295407,3500
48.791809,2.332607,4700
48.835881,2.291681,7600
48.834563,2.313402,3500
48.839747,2.316738,7300
48.797525,2.284146,4700
48.838537,2.280951,3000
48.872338,2.441131,4700
48.823459,2.263075,2700
48.867396,2.352026,5300
48.829045,2.302124,2700
48.806077,2.371915,3900
48.832798,2.235107,4900
48.845598,2.285581,6500
48.818502,2.24847,2700
48.823924,2.29328,2700
48.781422,2.316349,4200
48.887175,2.257147,7700
48.856721,2.269536,6200
48.802996,2.343973,3900
48.853466,2.388002,4700
48.879771,2.255399,4700
48.874046,2.232011,4700
48.871663,2.42436,6500
48.824647,2.210338,3900
48.832921,2.303382,6500
48.81525,2.28221,3200
48.846278,2.287493,5700
48.838537,2.280951,3000
48.823064,2.28139,5700
48.838537,2.280951,3500
48.836957,2.252359,9800
48.816951,2.259606,4000
48.856244,2.368126,2700
48.843075,2.315532,15600
48.836539,2.297484,2700
48.852268,2.293326,6900
48.848599,2.347718,10800
48.830207,2.329604,3200
48.820989,2.255732,7300
48.829672,2.246075,3200
48.847838,2.300206,3200
48.895148,2.239049,17200
48.873768,2.30418,6500
48.821754,2.364458,7300
48.821754,2.364458,7300
48.833745,2.255999,4700
48.805183,2.271374,4700
48.883382,2.385262,7600
48.834444,2.288352,5700
48.844622,2.395369,6500
48.892563,2.291196,8100
48.839272,2.263044,3200
48.838537,2.280951,3000
